"tr";"mese";"annrif";"progind";"sesso";"eta10";"staciv4";"pnasc";"reg";"rip";"istr4";"condogg";"posiz4";"ateco3";"cond4";"ORARIO";"RAPP";"CODPROF7";"progvia";"TIPOVGG";"DEST_RE";"DEST_PR";"DEST_IE";"GGINIZ";"MMINIZ";"AAINIZ";"DURATA";"MOTVAC";"MEZZO";"ALLOG";"MOTLAV";"ORGALL";"ORGTRA";"ALPART";"IORGALL";"IORGTRA";"TIPOMARE";"TIPOCROC";"TIPOMONT";"TIPOCITTA";"TIPOCAMP";"TIPOALTRO";"W";"COEV";"TRIM";"npart";"tipo";"ESPE_CO";"ESPE_GIO";"piattall1";"piattall2";"piattall3"
3;1;2019;649;1;2;1;1;40;2;3;3;2;3;3;NA;NA;4;1;"L0119";4;22;1;18;12;2018;20;NA;5;1;10;3;3;2;NA;NA;NA;NA;NA;NA;NA;NA;963.1165476;2889.3496427;1;1;NA;796;40;NA;NA;NA
3;9;2019;653;1;6;2;1;80;2;3;1;2;3;1;1;2;5;1;"V0919";13;66;1;19;9;2019;3;1;6;10;NA;3;3;2;NA;NA;2;2;2;1;2;2;5403.7662329;16211.298699;3;1;8;320;107;NA;NA;NA
3;7;2019;687;2;1;1;1;80;2;1;NA;NA;NA;NA;NA;NA;NA;1;"V0719";16;74;1;18;7;2019;4;2;5;16;NA;2;3;1;1;NA;NA;NA;NA;NA;NA;NA;4840.9897044;14522.969113;3;3;NA;144;36;1;2;2
3;11;2019;688;1;6;2;1;120;3;4;1;1;3;1;1;2;2;1;"V1119";132;NA;2;13;11;2019;4;1;1;1;NA;1;1;1;2;2;2;2;2;1;2;2;5031.7288191;15095.186457;4;4;1;685;171;NA;NA;NA
3;8;2019;707;1;3;1;1;30;1;3;1;1;3;1;1;1;4;1;"V0819";16;75;1;5;8;2019;20;1;5;14;NA;3;3;1;NA;NA;1;2;2;2;2;2;5828.2377231;17484.713169;3;3;7;183;9;NA;NA;NA
3;2;2019;716;2;6;2;1;150;4;2;3;NA;NA;3;NA;NA;NA;1;"V0219";12;58;1;25;2;2019;1;2;2;14;NA;3;3;2;NA;NA;NA;NA;NA;NA;NA;NA;8292.5697538;24877.709261;1;1;NA;70;70;NA;NA;NA
3;1;2019;719;1;5;2;1;90;3;3;1;4;3;1;NA;NA;5;1;"V0119";12;58;1;23;1;2019;1;1;5;1;NA;2;3;1;1;NA;2;2;2;1;2;2;6519.7131194;19559.139358;1;2;6;198;198;1;2;2
3;1;2019;722;1;1;1;1;90;3;2;NA;NA;NA;NA;NA;NA;NA;1;"V0119";1;1;1;20;1;2019;5;1;6;1;NA;2;2;2;3;2;2;2;1;2;2;2;6519.7131194;19559.139358;1;1;5;400;80;NA;NA;NA
3;9;2019;732;2;3;1;1;110;3;2;2;2;3;2;NA;NA;6;1;"V0919";4;22;1;12;9;2019;3;1;5;1;NA;2;3;2;1;NA;2;2;1;1;2;2;9972.6469178;29917.940754;3;1;2;381;127;1;2;2
3;2;2019;733;2;6;3;1;70;1;4;1;1;3;1;1;2;2;1;"V0219";1;4;1;1;2;2019;2;1;5;13;NA;3;3;2;NA;NA;2;2;1;2;2;2;3088.1194833;9264.3584499;1;1;5;100;50;NA;NA;NA
3;2;2019;733;2;6;3;1;70;1;4;1;1;3;1;1;2;2;2;"V0219";1;4;1;14;2;2019;4;1;5;13;NA;3;3;2;NA;NA;2;2;1;2;2;2;3088.1194833;9264.3584499;1;1;5;140;35;NA;NA;NA
3;2;2019;733;2;6;3;1;70;1;4;1;1;3;1;1;2;2;3;"V0219";1;4;1;22;2;2019;2;1;5;13;NA;3;3;2;NA;NA;2;2;1;2;2;2;3088.1194833;9264.3584499;1;1;7;182;91;NA;NA;NA
3;11;2019;742;2;7;4;1;90;3;1;3;NA;NA;3;NA;NA;NA;1;"V1119";500;NA;2;10;11;2019;7;1;1;6;NA;1;1;2;1;1;1;2;2;1;2;2;7720.2815692;23160.844707;4;1;7;1187;170;2;2;2
3;9;2019;748;2;6;2;1;120;3;4;3;1;3;4;NA;NA;2;1;"V0919";9;53;1;13;9;2019;4;1;8;7;NA;3;3;1;NA;NA;1;2;2;2;2;2;5295.7823372;15887.347012;3;2;7;196;49;NA;NA;NA
3;1;2019;753;1;1;1;1;40;2;1;NA;NA;NA;NA;NA;NA;NA;1;"V0119";19;81;1;11;1;2019;11;1;1;13;NA;3;1;1;NA;1;1;2;2;2;2;2;1780.6877442;5342.0632326;1;3;7;67;6;NA;NA;NA
3;12;2019;755;2;6;2;1;40;2;4;1;3;3;1;NA;NA;2;1;"L1219";126;NA;2;13;12;2019;2;NA;5;16;8;4;3;1;NA;NA;NA;NA;NA;NA;NA;NA;1148.8948061;3446.6844184;4;2;NA;135;68;NA;NA;NA
3;12;2019;766;1;5;2;1;150;4;4;1;1;3;1;1;2;2;1;"V1219";1;1;1;5;12;2019;3;1;5;1;NA;1;3;1;2;NA;2;2;2;1;2;2;12665.721469;37997.164407;4;5;1;200;67;NA;NA;NA
3;4;2019;804;1;8;4;1;90;3;2;3;1;3;4;NA;NA;2;1;"V0419";12;58;1;19;4;2019;3;2;5;14;NA;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;6538.1558802;19614.467641;2;2;NA;64;21;NA;NA;NA
3;7;2019;808;1;2;1;1;40;2;2;1;2;3;3;2;1;6;1;"V0719";3;17;1;17;7;2019;1;2;5;14;NA;3;3;2;NA;NA;NA;NA;NA;NA;NA;NA;1006.1114295;3018.3342884;3;1;NA;118;118;NA;NA;NA
3;4;2019;826;1;2;1;1;190;5;3;3;NA;NA;3;NA;NA;NA;1;"V0419";15;63;1;20;4;2019;4;1;1;1;NA;1;1;1;3;1;1;1;1;1;1;1;8787.8267465;26363.480239;2;2;1;180;45;NA;NA;NA
3;8;2019;851;2;5;2;1;80;2;4;1;1;3;1;1;2;2;1;"V0819";127;NA;2;1;8;2019;11;1;4;12;NA;1;1;1;2;2;1;2;1;2;1;2;6486.068119;19458.204357;3;2;7;606;55;NA;NA;NA
3;6;2019;892;2;6;2;1;150;4;1;2;2;3;3;NA;NA;2;1;"V0619";18;78;1;29;6;2019;1;2;5;14;NA;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;4122.6833002;12368.049901;2;2;NA;25;25;NA;NA;NA
3;8;2019;897;2;5;2;1;70;1;4;3;1;2;3;NA;NA;3;1;"V0819";125;NA;2;17;8;2019;7;1;5;12;NA;2;3;1;1;NA;1;2;2;2;2;2;2164.0807968;6492.2423904;3;3;7;1108;158;2;1;2
3;7;2019;902;2;1;1;1;30;1;1;NA;NA;NA;NA;NA;NA;NA;1;"V0719";5;27;1;5;7;2019;6;1;5;1;NA;1;3;1;1;NA;1;2;2;2;2;2;12285.100078;36855.300235;3;4;7;283;47;2;2;2
3;3;2019;907;1;4;2;1;30;1;3;1;1;2;1;1;2;2;1;"L0319";600;NA;2;5;3;2019;3;NA;1;1;6;2;1;2;1;1;NA;NA;NA;NA;NA;NA;8829.5586133;26488.67584;1;1;NA;1763;588;1;2;2
